"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2627","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Rajendr Singh","Payment In-Progress","9120"
"2628","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Shankar Lal Meena","Payment In-Progress","3240"
"2629","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Shankar Lal Meena","Payment In-Progress","3510"
"2630","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Shanti Devi","Payment In-Progress","3240"
"2631","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Shanti Devi","Payment In-Progress","3510"
"2632","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Shiv Lal Meena","Payment In-Progress","5320"
"2633","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Sita Bhil","Payment In-Progress","3240"
"2634","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Sita Bhil","Payment In-Progress","3510"
"2635","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Sohani Devi Meena","Payment In-Progress","3240"
"2636","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Sohani Devi Meena","Payment In-Progress","3510"
