"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2519","Rajasthan","Construction of community centers and community halls","WS/MP719/2026-2027/187644","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","31-Aug-2026","Rishabh Enterprises","Payment In-Progress","476624"
"2520","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","SAMPAT NATH","Payment In-Progress","3408"
"2521","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","JAMNA","Payment In-Progress","3408"
"2522","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","MAHENDRA SINGH","Payment In-Progress","3408"
"2523","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","BINTU NATH","Payment In-Progress","3408"
"2524","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","FATMA","Payment In-Progress","3408"
"2525","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","BAHADUR SINGH","Payment In-Progress","3408"
"2526","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","LALI KANWER","Payment In-Progress","3408"
"2527","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/228064","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","02-Sep-2026","Major Singh","Payment In-Progress","35035"
"2528","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","MOHHMAD RIYAJUDHAN","Payment In-Progress","12294"
"2529","Karnataka","Installing community drinking water plants","WS/	 MP620/2025-2026/167962","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","05-Aug-2026","KRISHNA TALWAR","Payment In-Progress","417642"
"2530","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Surendra Kumar Sharma","Payment In-Progress","11900"
"2531","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Ashok Kumar","Payment In-Progress","11050"
"2532","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Birbal","Payment In-Progress","3724"
"2533","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Rajesh Kumar","Payment In-Progress","3724"
"2534","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Lakshmi","Payment In-Progress","11050"
"2535","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","chetaram","Payment In-Progress","11900"
"2536","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Kunda ram","Payment In-Progress","11900"
"2537","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Pooja devi","Payment In-Progress","3724"
"2538","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Mukesh Kumar","Payment In-Progress","3458"
