"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"21","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197655","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"22","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195356","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"23","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195364","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"24","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195343","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"25","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195350","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"26","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195340","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"27","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197659","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"28","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195348","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"29","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197661","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"30","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195342","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
