"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1477","Assam","Construction of community centers and community halls","WS/MP831/2024-2025/165181","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","06-Jul-2026","MS Sarma Enterprise Hardware","Payment Success","20864"
"1478","Assam","Construction of community centers and community halls","WS/MP831/2024-2025/165181","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","06-Jul-2026","MS Sarma Enterprise Hardware","Payment Success","63240"
"1479","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18403/2026-2027/275425","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","28-Jul-2026","DELOLI GRAM PANCHAYAT","Payment Success","450000"
"1480","Telangana","Lighting of public spaces","WS/MP18381/2026-2027/270596","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Smt. Renuka Chowdhury (2024-30) (2024-2030)","Elected MP","07-Jul-2026","S S CONSTRUCTIONS","Payment Success","460627"
"1481","Telangana","Lighting of public spaces","WS/MP18381/2026-2027/270603","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Smt. Renuka Chowdhury (2024-30) (2024-2030)","Elected MP","07-Jul-2026","S S CONSTRUCTIONS","Payment Success","307070"
"1482","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290371","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","23-Jul-2026","Gill Pipe Industry","Payment Success","130510"
"1483","Sikkim","Construction of rooms and halls in school and colleges","WS/MP18282/2025-2026/192721","Namchi(IMPLEMENTING DISTRICT AGENCY, NAMCHI)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","30-Jun-2026","Nima Chandra Tamang","Payment Success","998661"
"1484","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP166/2024-2025/148075","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","01-Jul-2026","Bright Constructions","Payment Success","1800000"
"1485","Tamil Nadu","Construction of water tanks","WS/MP166/2025-2026/218139","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","31-Jul-2026","RAJU N","Payment Success","700000"
"1486","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP166/2025-2026/218138","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","23-Jun-2026","RAJU N","Payment Success","1600000"
"1487","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2026-2027/271435","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","24-Jun-2026","Madhusoodanan K P","Payment Success","1942474"
"1488","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/161660","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","14-Aug-2026","RAVIKUMAR O","Payment Success","448900"
"1489","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/168805","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","13-Jul-2026","RAVIKUMAR O","Payment Success","448900"
"1490","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/255726","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","02-Jul-2026","BHARATH D","Payment Success","498434"
"1491","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP104/2026-2027/252090","DINDORI(District Collector Dindori_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","14-Jul-2026","PRATEEK KUMAR PATEL","Payment Success","995100"
"1492","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP104/2026-2027/252090","DINDORI(District Collector Dindori_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","23-Jun-2026","PRATEEK KUMAR PATEL","Payment Success","995100"
"1493","Maharashtra","Construction of community centers and community halls","WS/MP18294/2024-2025/134392","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","25-Jun-2026","ANIL BHARAT PARDHI","Payment Success","499989"
"1494","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2026-2027/277339","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Jun-2026","KHUSHI MATERIAL SUPPLIER","Payment Success","245280"
"1495","West Bengal","Construction of common work sheds/ common covered sitting area","WS/MP218/2025-2026/267174","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","07-Aug-2026","PIONEER PROTECH","Payment Success","299432"
"1496","West Bengal","Construction of public toilets and bathrooms","WS/MP218/2025-2026/267173","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","07-Aug-2026","PIONEER PROTECH","Payment Success","1642899"
"1497","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/192950","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","24-Jun-2026","Nilesh Construction","Payment Success","1955602"
"1498","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2025-2026/223193","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","26-Jun-2026","JAGAT DOLEY","Payment Success","394750"
"1499","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP889/2025-2026/162253","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","25-Jun-2026","BHUTEDI","Payment Success","454810"
"1500","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2026-2027/277339","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Jun-2026","MS MAA BHAVANI STONE CRASHAER","Payment Success","197521"
"1501","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272737","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","09-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","936751"
"1502","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272736","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","09-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","382164"
"1503","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272759","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","22-Jun-2026","DHIGARRA ASSOCIATES","Payment Success","1384694"
"1504","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272760","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","22-Jun-2026","DHIGARRA ASSOCIATES","Payment Success","1673019"
"1505","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272712","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","22-Jun-2026","DHIGARRA ASSOCIATES","Payment Success","938256"
"1506","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272714","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","22-Jun-2026","DHIGARRA ASSOCIATES","Payment Success","896890"
"1507","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18347/2026-2027/272713","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","22-Jun-2026","DHIGARRA ASSOCIATES","Payment Success","1961215"
"1508","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272716","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","198212"
"1509","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272722","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","198133"
"1510","Uttar Pradesh","Lighting of public spaces","WS/MP18347/2026-2027/272719","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","186270"
"1511","Uttar Pradesh","Lighting of public spaces","WS/MP18347/2026-2027/272720","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","185885"
"1512","Uttar Pradesh","Lighting of public spaces","WS/MP18347/2026-2027/272724","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","186016"
"1513","Uttar Pradesh","Construction of culverts and bridges","WS/MP18347/2026-2027/272729","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","184987"
"1514","Uttar Pradesh","Lighting of public spaces","WS/MP18347/2026-2027/272723","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","186143"
"1515","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272721","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","197937"
"1516","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272725","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","197937"
"1517","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272728","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","198094"
"1518","Uttar Pradesh","Construction of water tanks","WS/MP18347/2026-2027/272730","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","197898"
"1519","Uttar Pradesh","Lighting of public spaces","WS/MP18347/2026-2027/272757","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","186401"
"1520","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272731","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","197898"
"1521","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272732","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","198251"
"1522","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272734","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","198084"
"1523","Uttar Pradesh","Installing community drinking water plants","WS/MP18347/2026-2027/272735","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","197976"
"1524","Uttar Pradesh","Installing tube-wells and borewells","WS/MP18347/2026-2027/272726","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","08-Jul-2026","DHIGARRA ASSOCIATES","Payment Success","197780"
"1525","Punjab","Renovation of ponds and lakes","WS/MP141/2025-2026/261041","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","21-Jun-2026","SIDHU AND SONS BKO","Payment Success","445000"
"1526","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2026-2027/243518","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","18-Aug-2026","CONST COMT OF HIRAPARA ROAD SID","Payment Success","600000"
"1527","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2026-2027/286806","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","29-Aug-2026","NEELAMSETTY SIVA VENKATA RAMANA","Payment Success","494587"
"1528","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2025-2026/258833","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","23-Jun-2026","NEELAMSETTY SIVA VENKATA RAMANA","Payment Success","499958"
"1529","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2025-2026/258837","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","23-Jun-2026","NEELAMSETTY SIVA VENKATA RAMANA","Payment Success","499970"
"1530","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2025-2026/258831","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","23-Jun-2026","NEELAMSETTY SIVA VENKATA RAMANA","Payment Success","499971"
"1531","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2025-2026/258830","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","23-Jun-2026","NEELAMSETTY SIVA VENKATA RAMANA","Payment Success","499757"
"1532","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2025-2026/258832","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","23-Jun-2026","NEELAMSETTY SIVA VENKATA RAMANA","Payment Success","499968"
"1533","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2026-2027/236045","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","19-May-2026","C RAJA REDDY","Payment Success","4704726"
"1534","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/201837","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","24-Jun-2026","TOMY THOMAS","Payment Success","299408"
"1535","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49140"
"1536","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49140"
"1537","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49470"
"1538","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","48450"
"1539","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49800"
"1540","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49530"
"1541","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","30000"
"1542","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","36000"
"1543","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288250","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","96000"
"1544","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/286150","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","90100"
"1545","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","48300"
"1546","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","43170"
"1547","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49530"
"1548","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288248","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","49815"
"1549","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/286148","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","211200"
"1550","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/277166","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","40950"
"1551","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/277166","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","40500"
"1552","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290366","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","96000"
"1553","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","32460"
"1554","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/277167","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Shree Guru Nanak Cement Store","Payment Success","313275"
"1555","Punjab","Construction of footpaths and pedestrian ways","WS/MP235/2025-2026/274834","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-May-2026","Shree Guru Nanak Cement Store","Payment Success","238275"
"1556","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","14940"
"1557","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","40500"
"1558","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299126","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","183000"
"1559","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","15600"
"1560","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","38250"
"1561","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","Shree Guru Nanak Cement Store","Payment Success","48100"
"1562","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","Shree Guru Nanak Cement Store","Payment Success","27300"
"1563","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","Shree Guru Nanak Cement Store","Payment Success","28800"
"1564","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Shree Guru Nanak Cement Store","Payment Success","17550"
"1565","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Shree Guru Nanak Cement Store","Payment Success","44775"
"1566","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/301954","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","45000"
"1567","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/301954","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","36150"
"1568","Tamil Nadu","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP166/2025-2026/259902","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","14-May-2026","Royal Construction","Payment Success","499673"
